place_id,place_name,region,city,address,latitude,longitude,coordinate_source,coordinate_source_url,status,notes
P023,포항 구룡포 석병리,경상북도,포항시,경북 포항시 남구 구룡포읍 일출로 207,36.0124611572903,129.576737767501,카카오 로컬 API,http://place.map.kakao.com/23864387,확정,석병1리마을회관을 대표 지점으로 사용
P024,포항 청하 공진시장,경상북도,포항시,경북 포항시 북구 청하면 미남리 382-3,36.19705421304869,129.33977153030838,카카오 로컬 API,http://place.map.kakao.com/18525290,확정,
P025,제주도 청굴물,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 김녕리 1296,33.5582918680451,126.751157460293,카카오 로컬 API,http://place.map.kakao.com/17754603,확정,
P026,제주도 태봉왓,제주특별자치도,제주시,제주특별자치도 서귀포시 대정읍 가파로 101,33.16834841902524,126.27570162962913,카카오 로컬 API,http://place.map.kakao.com/2102958942,확정,
P027,금능리 대표 관광지,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 금능리 1701-1,33.3880061610003,126.226042968412,카카오 주소 API,,확정,우리들의 블루스 금능리 주택 촬영지 지번 기준
P029,상주 경천섬 공원,경상북도,상주시,경북 상주시 중동면 오상리,36.4399243533953,128.259711893989,카카오 로컬 API,http://place.map.kakao.com/21997970,확정,
P030,혜원의 집,대구광역시,군위군,대구 군위군 우보면 미성5길 58-1,36.179731413438354,128.66451532386364,카카오 로컬 API,http://place.map.kakao.com/32663188,카카오 후보 자동선정,영화 리틀포레스트 촬영지; query=혜원의 집; rank=1
P031,충주 중앙탑공원,충청북도,충주시,충북 충주시 중앙탑면 탑정안길 6,37.01711679176299,127.86685914869933,카카오 로컬 API,,확정,중앙탑사적공원 대표 좌표
P032,화홍문,경기도,수원시,경기 수원시 팔달구 북수동 9000-1,37.28754551327953,127.01762609024438,카카오 로컬 API,http://place.map.kakao.com/11387143,카카오 후보 자동선정,수원화성 화홍문; query=화홍문; rank=1
P033,서울로7017,서울특별시,서울특별시,서울 중구 남대문로5가 84-15,37.557109027019116,126.97541367376364,카카오 로컬 API,http://place.map.kakao.com/1892446523,카카오 후보 자동선정,서울로7017; query=서울로7017; rank=1
P034,이태원 녹사평 육교,서울특별시,서울특별시,서울 용산구 녹사평대로 지하 195,37.5349210695376,126.987033888672,카카오 로컬 API,http://place.map.kakao.com/1930390402,카카오 후보 자동선정,녹사평육교; query=이태원 녹사평 육교; rank=1
P035,여수 소호동동다리,전라남도,여수시,전남광주통합특별시 여수시 소호동 498-1,34.74087611212171,127.65074568267204,카카오 로컬 API,http://place.map.kakao.com/530749902,카카오 후보 자동선정,소호동동다리; query=여수 소호동동다리; rank=1
P036,부산 더베이101·마린시티,부산광역시,부산광역시,부산광역시 해운대구 동백로 52,35.1565378,129.1519899,주소 지도 검증,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C+%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC+%EB%8F%99%EB%B0%B1%EB%A1%9C+52,확정,더베이101 대표 좌표
P037,부산항대교·영도,부산광역시,부산광역시,부산광역시 부산항대교,35.1045602,129.0614894,공공데이터포털 관광지 정보,https://www.data.go.kr/data/15070786/openapi.do,확정,부산항대교 대표 좌표; 편의점 검색 후보 제외
P038,부산 광안대교,부산광역시,부산광역시,부산 수영구 민락동 113-52,35.1474701651617,129.130066851959,카카오 로컬 API,http://place.map.kakao.com/170421478,카카오 후보 자동선정,광안대교; query=부산 광안대교; rank=1
P039,청주 중앙공원·수암골 일대,충청북도,청주시,충북 청주시 상당구 수동 81-245,36.6457462982182,127.495439275669,카카오 주소 API,,확정,수암골전망대 대표 좌표
P040,포항 스페이스워크,경상북도,포항시,경북 포항시 북구 두호동 산 8,36.065137652747694,129.3903862441959,카카오 로컬 API,http://place.map.kakao.com/1440340624,카카오 후보 자동선정,환호공원 스페이스워크; query=포항 스페이스워크; rank=1
P041,사방기념공원,경상북도,포항시,경북 포항시 북구 흥해읍 해안로 1801,36.16482201943029,129.3958587723502,카카오 로컬 API,http://place.map.kakao.com/11738474,카카오 후보 자동선정,사방기념공원; query=사방기념공원; rank=1
P042,쿠키 가파도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 가파도,33.1683333,126.2713889,사용자 제공,,확정(대표좌표),가파도 섬 중심부
P043,신촌 앞바다,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 신촌리 해안,33.5333333,126.6166667,사용자 제공,,확정(근사좌표),신촌 앞바다 대표 근사 좌표
P044,주문진 방파제,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 교항리,37.8798554564007,128.834204251177,카카오 로컬 API,http://place.map.kakao.com/1873746459,카카오 후보 자동선정,주문진방파제; query=주문진 방파제; rank=1
P045,올레길5코스,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 1727-1,33.27078076230098,126.66743988738492,카카오 로컬 API,http://place.map.kakao.com/11828668,카카오 후보 자동선정,올레길 5코스(남원-쇠소깍 올레); query=올레길5코스; rank=1
P046,오천항,충청남도,보령시,충남 보령시 오천면 소성리,36.4392677794874,126.519632363757,카카오 로컬 API,http://place.map.kakao.com/10621096,카카오 후보 자동선정,오천항; query=오천항; rank=1
P047,구룡포 일본인가옥거리,경상북도,포항시,경북 포항시 남구 구룡포읍 구룡포리 971-1,35.9905582196314,129.560418852909,카카오 로컬 API,http://place.map.kakao.com/1364011631,카카오 후보 자동선정,구룡포 일본인 가옥 거리; query=구룡포 일본인가옥거리; rank=1
P048,부남해변,강원특별자치도,삼척시,강원특별자치도 삼척시 근덕면 부남리,37.362162544846,129.251128408746,카카오 로컬 API,http://place.map.kakao.com/7899940,카카오 후보 자동선정,부남해변; query=부남해변; rank=1
P049,이기대 해안산책로,부산광역시,부산광역시,부산 남구 용호동,35.11577835670782,129.1271487816168,카카오 로컬 API,http://place.map.kakao.com/13050992,카카오 후보 자동선정,이기대해안산책로; query=이기대 해안산책로; rank=1
P050,화진포 해수욕장,강원특별자치도,고성군,강원특별자치도 고성군 현내면 초도리,38.4785382598549,128.439373564159,카카오 로컬 API,http://place.map.kakao.com/26952651,카카오 후보 자동선정,화진포해변; query=화진포 해수욕장; rank=1
P051,아바이마을,강원특별자치도,속초시,강원특별자치도 속초시 청호동 550-14,38.202177212336174,128.5942285663621,카카오 로컬 API,http://place.map.kakao.com/11951680,카카오 후보 자동선정,아바이마을; query=아바이마을; rank=1
P052,자하문터널,서울특별시,서울특별시,서울 종로구 청운동 산 4-34,37.59109381053928,126.96529582862915,카카오 로컬 API,http://place.map.kakao.com/8059280,카카오 후보 자동선정,자하문터널; query=자하문터널; rank=1
P053,사천진 해변,강원특별자치도,강릉시,강원특별자치도 강릉시 사천면 진리해변길 131,37.8429299799559,128.873688474729,카카오 로컬 API,http://place.map.kakao.com/27578139,카카오 후보 자동선정,사천진해변; query=사천진 해변; rank=1
P054,영인산 자연휴양림,충청남도,아산시,충남 아산시 영인면 아산온천로 16-26,36.84104588935129,126.95014385033994,카카오 로컬 API,http://place.map.kakao.com/8010414,카카오 후보 자동선정,영인산자연휴양림; query=영인산 자연휴양림; rank=1
P055,동부마을 팽나무,경상남도,창원시,경남 창원시 의창구 대산면 북부리 102-1,35.3491062321099,128.72753813773,카카오 로컬 API,http://place.map.kakao.com/287391715,카카오 후보 자동선정,창원 북부리 팽나무; query=동부마을 팽나무; rank=1
P056,강화 전등사,인천광역시,인천광역시,인천 강화군 길상면 전등사로 37-41,37.6321456856267,126.484778944969,카카오 로컬 API,http://place.map.kakao.com/8063837,카카오 후보 자동선정,전등사; query=강화 전등사; rank=1
P057,청라호수공원,인천광역시,인천광역시,인천 서해구 청라동 106-2,37.53249042934526,126.63427992472252,카카오 로컬 API,http://place.map.kakao.com/18475105,카카오 후보 자동선정,청라호수공원; query=청라호수공원; rank=1
P058,부평역,인천광역시,인천광역시,인천 부평구 광장로 16,37.4894490429055,126.724331088618,카카오 로컬 API,http://place.map.kakao.com/21160577,카카오 후보 자동선정,부평역 1호선; query=부평역; rank=1
P059,원대리 자작나무숲,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 원대리 산 75-22,37.988190793167696,128.19898760828082,카카오 로컬 API,http://place.map.kakao.com/27301455,카카오 후보 자동선정,원대리자작나무숲; query=원대리 자작나무숲; rank=1
P060,재인폭포,경기도,연천군,경기 연천군 연천읍 부곡리 산 235,38.07693251670516,127.1433657083957,카카오 로컬 API,http://place.map.kakao.com/8062094,카카오 후보 자동선정,재인폭포; query=재인폭포; rank=1
P061,용화산,강원특별자치도,화천군,강원특별자치도 화천군 하남면 삼화리 102-7,38.0390316062079,127.739867906177,카카오 로컬 API,http://place.map.kakao.com/25547600,카카오 후보 자동선정,용화산큰고개주차장; query=용화산; rank=2
P062,선샤인스튜디오,충청남도,논산시,충남 논산시 연무읍 봉황로 90,36.102744829484976,127.10481905674301,카카오 로컬 API,http://place.map.kakao.com/1956997299,카카오 후보 자동선정,선샤인스튜디오; query=선샤인스튜디오; rank=1
P065,서산유기방가옥,충청남도,서산시,충남 서산시 운산면 이문안길 72-10,36.824683799127605,126.57337176623733,카카오 로컬 API,http://place.map.kakao.com/25045267,카카오 후보 자동선정,유기방가옥; query=서산유기방가옥; rank=1
P066,안동 만휴정,경상북도,안동시,경북 안동시 길안면 묵계하리길 42,36.41044601464208,128.90985170979334,카카오 로컬 API,http://place.map.kakao.com/8349717,카카오 후보 자동선정,만휴정; query=안동 만휴정; rank=1
P067,계명대,대구광역시,대구광역시,대구 달서구 달구벌대로 1095,35.85586772774384,128.4845367856981,카카오 로컬 API,http://place.map.kakao.com/9651837,카카오 후보 자동선정,계명대학교 성서캠퍼스; query=계명대; rank=1
P068,춘천 제이드가든,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 햇골길 80,37.83274730890742,127.54214100487543,카카오 로컬 API,http://place.map.kakao.com/11209011,카카오 후보 자동선정,제이드가든; query=춘천 제이드가든; rank=1
P069,남이섬,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 남이섬길 1,37.79144074509299,127.52521014329739,카카오 로컬 API,http://place.map.kakao.com/11276521,카카오 후보 자동선정,남이섬; query=남이섬; rank=1
P070,남이섬 겹벚나무길,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 남이섬길 1,37.79153,127.52554,사용자 지도 확인,https://maps.app.goo.gl/7d3C3H2TCPEABLF99,확정,남이섬 노래박물관 부근 겹벚나무길
P071,남이섬 메타세쿼이아길,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 남이섬길 1,37.7894276637595,127.524480667386,카카오 로컬 API,http://place.map.kakao.com/17583283,카카오 후보 자동선정,남이섬유원지 메타세쿼이아길; query=남이섬 메타세쿼이아길; rank=1
P072,아침고요수목원 서화연,경기도,가평군,경기 가평군 상면 수목원로 427,37.7395687372143,127.351930894034,카카오 로컬 API,http://place.map.kakao.com/17563793,카카오 후보 자동선정,아침고요수목원 서화연; query=아침고요수목원 서화연; rank=1
P073,전주향교,전북특별자치도,전주시,전북특별자치도 전주시 완산구 향교길 139,35.81275813126205,127.15713397830652,카카오 로컬 API,http://place.map.kakao.com/8064969,카카오 후보 자동선정,전주향교; query=전주향교; rank=1
P074,영월 선돌,강원특별자치도,영월군,강원특별자치도 영월군 영월읍 방절리 769-4,37.2056640235218,128.433061290293,카카오 로컬 API,http://place.map.kakao.com/27002081,카카오 후보 자동선정,선돌; query=영월 선돌; rank=1
P075,안동 하회마을,경상북도,안동시,경북 안동시 풍천면 하회리 1176-1,36.5389828267328,128.518141153901,카카오 로컬 API,http://place.map.kakao.com/7999373,카카오 후보 자동선정,안동하회마을; query=안동 하회마을; rank=1
P083,북한강길,경기도,가평군,경기 가평군 청평면 삼회리,37.7073429953365,127.398350926483,카카오 로컬 API,,확정(대표좌표),영상의 벚꽃 드라이브 장면과 맞는 가평벚꽃길 후보
P087,화본역,대구광역시,군위군,대구 군위군 산성면 산성가음로 711-9,36.12690505722286,128.69488263069803,카카오 로컬 API,http://place.map.kakao.com/8167980,카카오 후보 자동선정,화본역 (폐역); query=화본역; rank=1
